	KO_TP_1	KO_TP_2	KO_TP_3	KO_TP_4	KO_TP_5	KO_baseline_1	KO_baseline_2	KO_baseline_3	KO_baseline_4	KO_baseline_5	WT_TP_1	WT_TP_2	WT_TP_3	WT_TP_4	WT_TP_5	WT_baseline_1	WT_baseline_2	WT_baseline_3	WT_baseline_4	WT_baseline_5	WT_baseline_mean	WT_TP_mean	WT_TP_vs_WT_baseline_log2fc	pval	padj	differentially_expressed
Q3TNL8.2	12.1003338191265	12.1534095284526	12.1015817968855	11.9921806869649	11.739628739144	12.2688022116491	12.461804272897	12.4468765215684	12.4617045310808	12.1155671663048	12.0126175558131	12.4378690850202	12.2808403518147	12.6798956941562	12.3092887571833	12.1948737916871	12.2693078814901	12.6850553577164	12.6494493024696	12.6441199083571	12.4885612483441	12.3441022887975	-0.144458959546556	0.36857252353926	0.470098631853788	FALSE
Ankmy2	12.0797281014265	12.0651131571027	11.9751565408197	12.1695461190132	12.0576431872538	12.3304883743813	12.3751453482167	12.4457908360481	11.5547950732637	12.527142195498	13.0236157592227	12.545439941638	12.6638827185514	12.8043528951371	12.5034804235829	12.5226771519924	12.8362417283315	12.5887450817473	12.5915550709737	12.5335803812282	12.6145598828546	12.7081543476264	0.0935944647717921	0.426945373824095	0.525499390830994	FALSE
Exoc5.Sec10l1	13.4118949141272	13.174172001992	13.3031528565986	13.342866376933	13.2353186955175	13.2766028004121	13.4445619921042	13.4426843678658	13.5235987090291	13.3148664310532	13.7491885526304	13.8356359547945	13.5744161358944	13.9664603895128	13.5653520286199	13.5039499316033	13.2515075599249	13.4761639463543	13.5973309722441	13.4714847051098	13.4600874230473	13.7382106122904	0.278123189243104	0.0215205203119395	0.0475794609949354	FALSE
Q3TQB2.2	13.4547748007485	13.5380312651023	13.4874632362653	13.2848573483244	13.5704249808467	13.709148447977	13.7836633164922	13.8388986006185	13.8923341002701	13.5125429550969	13.0425981718511	13.4146984472398	13.823088546869	13.4778341425187	13.5027199436365	13.7125270004398	13.457162816579	13.7374058025854	13.6627684973931	13.6155721670917	13.6370872568178	13.452187850423	-0.184899406394795	0.223654137228118	0.314503349840539	FALSE
Q3TQI7	11.9947317411015	11.9302494585997	12.1267818962598	11.7369810917836	11.6479755093702	11.853223770986	11.9584294648615	11.9221123464349	11.4667749462964	11.8785989101024	13.2239594542439	12.8872967853182	12.7368564016887	13.0651771243336	12.8254497618039	12.0546077093414	12.3815591733015	12.1981626139293	12.4506699997271	12.294546085194	12.2759091162986	12.9477479054777	0.671838789179011	0.000389089248989788	0.00240187713300584	FALSE
Q3TRM4.2	11.1557163499614	10.9716297682098	10.8221405871657	10.8587814066137	10.5690960952621	10.3688229030202	10.4233155409507	10.7422504806162	10.805582668169	10.5110311258499	11.831762468159	12.017904514289	11.8511165526932	12.2000709937401	11.9243003450238	10.5231600624709	10.600693471053	10.7395443596637	10.9737188881991	11.0795047840815	10.7833243130936	11.965030974781	1.18170666168739	4.08320377661473e-05	0.00052640221250361	TRUE
Alkbh5.Abh5.Ofoxd	12.83922544411	12.595586177035	13.1530991393149	12.7328669758501	12.6225140303026	13.1472653540245	13.3703468513585	13.6550722614721	13.340448218799	13.4300996754868	14.2869331138067	14.2136054903439	14.0982459703385	14.3596603498229	14.1802122106828	13.5306257973395	13.6500307668455	13.9144225071905	13.9445473604279	13.8960674565692	13.7871387776745	14.2277314269989	0.44059264932444	0.00319387055989114	0.0110150932284184	FALSE
Ilrun.D17Wsu92e	12.2515208740852	12.559976893683	12.4483589717102	12.3767385943025	12.4845107631772	12.4035473409811	11.9811855094126	12.7022289718892	12.8963456499998	12.6895415989058	12.802037676078	12.5602038457771	13.0001796212569	12.522159743657	12.4573347038835	12.1591050168242	12.2029196584265	12.7540795170064	12.5839453991895	12.4296342697434	12.425936772238	12.6683831181305	0.242446345892525	0.148659538604226	0.226765039014353	FALSE
Cblb	NA	NA	9.29252640273281	9.29399805026453	NA	9.4044454821918	9.89824917265358	9.58538885929533	NA	9.7955965084558	10.6241191768399	10.4342216305586	9.95061713191946	10.5942499476574	NA	9.98632559981973	9.12493809067155	10.5275551987945	10.3566060255399	10.3523303909113	10.0695510611474	10.4008019717438	0.33125091059645	0.303899065068322	0.403083272961624	FALSE
Q3TTL0	9.55930825254051	9.87075308520139	9.24612301659684	9.26208074730415	9.96361283798306	9.76123706302879	9.29069624752675	9.52630164974318	9.73650848047576	9.0337230729232	9.4668412083216	9.93443393819284	9.89550409252252	10.354039961049	9.75499770382561	9.64737747496082	8.46397795394294	9.56452107427247	9.84750214764729	8.98477161238542	9.30163005264179	9.88116338078231	0.579533328140517	0.0917299370252042	0.153675480399134	FALSE
