Group Labels	KO_TP_1	KO_TP_2	KO_TP_3	KO_TP_4	KO_TP_5	KO_baseline_1	KO_baseline_2	KO_baseline_3	KO_baseline_4	KO_baseline_5	WT_TP_1	WT_TP_2	WT_TP_3	WT_TP_4	WT_TP_5	WT_baseline_1	WT_baseline_2	WT_baseline_3	WT_baseline_4	WT_baseline_5
Q80SY5	33305.6	26576.4	30326	32797.2	35163.3	42035.2	39884.6	37394.1	35972.3	29673.5	26871	48785.5	42849.5	42316.5	31348.2	34609.1	25379.6	35285.5	37691.8	34271.3
Q80SY6	2371.19	2865.76	2531.8	2317.56	1992.41	3605.39	1822.29	3368.17	2458.76	3674.04	4226.94	3774.77	3768.59	2836.68	2900.91	3592.01	3858.13	3818.82	2192.19	2092.14
Q80T69	7180.24	6328.24	7387.36	7053.48	6415.82	8246.74	10796.5	10574.4	9601.89	9028.58	10146.5	10315.6	9154.94	9731.55	10113.8	8966.69	8996.18	10490.1	9887.01	9985.3
Q80T85	7229.41	7151.17	8538.61	7933.31	6507.45	5724.74	5461.89	5999.96	6111.83	6796.61	8548.05	7019.04	7578.16	7064.33	8324.68	5192.1	4743.27	5535.41	5281.33	4897.32
Q80TA1	47198.8	39075.1	39847.3	45747.2	39660	28040.4	25524.1	29300.4	25708.7	23166.4	13197.7	23132.8	17954.2	16913	21544.2	19117.7	18629.7	20487.6	17076.5	22367.1
Q80TA6	11069.4	10063.3	10128.8	10414.1	11711.4	12918.5	14212	13216.5	13084	13514.5	17173.4	14973.4	14767.8	16011.4	13843.5	15338.9	13546.9	15856.1	15372.9	15200.6
Q80TA9	5591.84	5360.38	6364.65	5728.88	5340.33	7593.15	7350.44	6769.06	8049.42	7854.79	7037.87	6482.98	5264.54	6655.26	6394.36	6350.06	5892.93	7686.54	6124.45	6716.66
Q80TE0	11560.1	10630.2	11020.7	11347.9	12649.4	11671.3	13218.1	12878.4	12679.2	11950.2	20983	18124.1	15930.9	17939.6	14807.8	13747.5	11426.4	13875.1	14231.2	14783.9
Q80TE4-2	994.89	501.285	1145.9	1617.3	1253.81	640.985	897.869	520.732	546.804	612.696						328.34	493.778			
Q80TG1	1911.88	1713.32	2253.68	2518.09	1756.85	1230.81	1520.68	2247.6		1816.21	2352.38	1155.97	1864.57	1977.6	2515.3	1773.95			1780.45	860.919
Q80TH2-1	10168.4	9263.81	10372.8	10508.2	7729.26	6404.16	6300.09	7354.45	8030.69	7815.96	11644.6	12030.8	11781.3	14350	11389.8	6328.12	6821.31	9270.34	8576.49	8414.71
Q80TJ7	9494.1	8647.48	9486.48	8077.15	8839.54	10759.1	11550	10189.3	10191.5	10903.8	13619.9	12009.7	13465.2	12667.1	12961.1	13233.5	13654.2	12307.5	12475.9	12158.5
Q80TL0	4991.98	5125.42	6678.8	5261.26	5123.63	4243.35	4350.31	4094.45	4946.81	4584.34	6320.36	4871.58	5121.7	5417.94	5289.51	3001.12	4173.5	4445.29	3798.48	3477.83
Q80TM9	17803.5	16265.5	18176.4	18507.4	15692.8	21331.1	22218	22619.9	21228.9	22589.6	18421.8	15609.9	15878.4	15839	16099	18624.2	19534.9	20418.8	20696.7	22031.8
Q80TN4	1459.31	798.01	1338.32	989.36		505.228	494.644	1026.23			1063.21	1133.34	836.044		1116.02	662.784		1085.5		956.629
Q80TN5	5784.77	6151.92	6654.72	5495.24	4848.61	5117	4175.62	4001.75	5069.58	4395.95	5231.21	5657.38	5994.38	6366.67	6288.33	4374.05	4083.42	4683.09	4774.08	6946.57
Q80TQ2-2	3189.43	3339.52	3996.27	3489.64	2323.39	3065.24	2811.2	3305.34	3015.99	2319.1	5875.88	4430.21	4220.41	5508.96	4527.5	2571.31	2896.09	3479.97	3404.77	3946.14
Q80TR8-2	11959.4	11453.6	13161.7	11592.3	12860	20696.4	22697.4	19967.5	23006.8	21011.2	10594.6	10421.7	8939.25	9663.83	9921.94	20183.1	17790.3	21456	18021.8	20659.3
Q80TY0-2	7176.71	7424.44	7263.62	7871.18	6502.71	11223.6	9779.5	9692.79	11271.6	11454.6	8095.31	6121.12	6723.96	6444.74	5711.99	9088.68	8350.76	8921.47	8440.77	9330.72
Q80TY5	6363.69	5184.36	5515.26	5147.35	4916.61	3829.33	3741.1	3608.74	4046.92	3491.54	6291.52	6256.68	6201.03	6281.21	6155.94	3175.57	3440.31	4088.25	3735.64	3880.15
Q80TZ3	5731.44	4862.2	6810.47	5278.9	6244.62	9020.18	10915.9	9790.39	9753.83	9521.08	7237.57	6495.22	5497.54	5913.17	6164.88	11238	10339.8	11701.7	12347.1	12945.3
Q80TZ9	4239.64	3762.71	3099.99	3927.52	3101.78	5110.48	4592.44	7123.32	5306.54	5698.78	4304.1	4027.02	5829	5032.09	5996.48	4665.32	5708.53	4930.38	6937.53	5298.39
Q80U16-5	530.388	465.532	837.129	728.195	535.497	238.555	370.241	671.73	775.39	397.992	589.805	274.82		499.121		633.097	347.377	822.101	797.049	843.994
Q80U22-2	1744.88				1353.69							518.891				133.652		186.736	171.834	
